method,n_features,selected_features,full_file
FS1,2,"profile_excess_kurtosis, profile_skewness",report_outputs/data/FS1/f-datacut_2-features.csv
FS1,3,"profile_mean, profile_excess_kurtosis, profile_skewness",report_outputs/data/FS1/f-datacut_3-features.csv
FS1,4,"profile_mean, profile_excess_kurtosis, profile_skewness, dm_stdev",report_outputs/data/FS1/f-datacut_4-features.csv
FS1,5,"profile_mean, profile_excess_kurtosis, profile_skewness, dm_mean, dm_stdev",report_outputs/data/FS1/f-datacut_5-features.csv
FS1,6,"profile_mean, profile_excess_kurtosis, profile_skewness, dm_mean, dm_stdev, dm_excess_kurtosis",report_outputs/data/FS1/f-datacut_6-features.csv
FS1,7,"profile_mean, profile_stdev, profile_excess_kurtosis, profile_skewness, dm_mean, dm_stdev, dm_excess_kurtosis",report_outputs/data/FS1/f-datacut_7-features.csv
FS1,8,"profile_mean, profile_stdev, profile_excess_kurtosis, profile_skewness, dm_mean, dm_stdev, dm_excess_kurtosis, dm_skewness",report_outputs/data/FS1/f-datacut_8-features.csv
FS2,2,"profile_excess_kurtosis, profile_skewness",report_outputs/data/FS2/f-datacut_2-features.csv
FS2,3,"profile_excess_kurtosis, profile_skewness, profile_mean",report_outputs/data/FS2/f-datacut_3-features.csv
FS2,4,"profile_excess_kurtosis, profile_skewness, profile_mean, dm_stdev",report_outputs/data/FS2/f-datacut_4-features.csv
FS2,5,"profile_excess_kurtosis, profile_skewness, profile_mean, dm_stdev, dm_mean",report_outputs/data/FS2/f-datacut_5-features.csv
FS2,6,"profile_excess_kurtosis, profile_skewness, profile_mean, dm_stdev, dm_mean, dm_excess_kurtosis",report_outputs/data/FS2/f-datacut_6-features.csv
FS2,7,"profile_excess_kurtosis, profile_skewness, profile_mean, dm_stdev, dm_mean, dm_excess_kurtosis, profile_stdev",report_outputs/data/FS2/f-datacut_7-features.csv
FS2,8,"profile_excess_kurtosis, profile_skewness, profile_mean, dm_stdev, dm_mean, dm_excess_kurtosis, profile_stdev, dm_skewness",report_outputs/data/FS2/f-datacut_8-features.csv
