seed, N_samples, N_features, Feature_map , Ansatz        , Entanglement, Loss         , Accuracy, Precision, Recall, F1-score, FPR  , MCC  , TP , TN   , FP  , FN
   1,       300,          3, ZZFeatureMap, EfficientSU2  , full        , cross_entropy,    0.95 ,     0.856,  0.543,    0.664, 0.009, 0.658, 875, 15839,  147,  737
   1,       300,          3, ZZFeatureMap, EfficientSU2  , linear      , cross_entropy,    0.93 ,     0.899,  0.264,    0.408, 0.003, 0.465, 425, 15938,   48, 1187
   1,       300,          3, ZZFeatureMap, EfficientSU2  , circular    , cross_entropy,    0.817,     0.252,  0.507,    0.337, 0.151, 0.265, 817, 13566, 2420,  795
   1,       300,          3, ZZFeatureMap, RealAmplitudes, full        , cross_entropy,    0.943,     0.85 ,  0.458,    0.595, 0.008, 0.6  , 739, 15856,  130,  873
   1,       300,          3, ZZFeatureMap, RealAmplitudes, linear      , cross_entropy,    0.827,     0.208,  0.318,    0.251, 0.122, 0.163, 512, 14042, 1944, 1100
   1,       300,          3, ZZFeatureMap, RealAmplitudes, circular    , cross_entropy,    0.866,     0.349,  0.537,    0.423, 0.101, 0.361, 865, 14374, 1612,  747
   1,       300,          3, ZZFeatureMap, TwoLocal      , full        , cross_entropy,    0.94 ,     0.803,  0.462,    0.587, 0.011, 0.582, 744, 15804,  182,  868
   1,       300,          3, ZZFeatureMap, TwoLocal      , linear      , cross_entropy,    0.919,     0.668,  0.227,    0.339, 0.011, 0.358, 366, 15804,  182, 1246
   1,       300,          3, ZZFeatureMap, TwoLocal      , circular    , cross_entropy,    0.94 ,     0.803,  0.462,    0.587, 0.011, 0.582, 744, 15804,  182,  868
   2,       300,          3, ZZFeatureMap, EfficientSU2  , full        , cross_entropy,    0.947,     0.857,  0.504,    0.635, 0.008, 0.633, 812, 15851,  135,  800
   2,       300,          3, ZZFeatureMap, EfficientSU2  , linear      , cross_entropy,    0.929,     0.877,  0.257,    0.398, 0.004, 0.452, 414, 15928,   58, 1198
   2,       300,          3, ZZFeatureMap, EfficientSU2  , circular    , cross_entropy,    0.901,     0.458,  0.438,    0.448, 0.052, 0.393, 706, 15150,  836,  906
   2,       300,          3, ZZFeatureMap, RealAmplitudes, full        , cross_entropy,    0.945,     0.868,  0.471,    0.611, 0.007, 0.616, 760, 15870,  116,  852
   2,       300,          3, ZZFeatureMap, RealAmplitudes, linear      , cross_entropy,    0.919,     0.653,  0.243,    0.354, 0.013, 0.366, 392, 15778,  208, 1220
   2,       300,          3, ZZFeatureMap, RealAmplitudes, circular    , cross_entropy,    0.93 ,     0.657,  0.49 ,    0.561, 0.026, 0.531, 790, 15573,  413,  822
   2,       300,          3, ZZFeatureMap, TwoLocal      , full        , cross_entropy,    0.943,     0.843,  0.458,    0.594, 0.009, 0.596, 738, 15849,  137,  874
   2,       300,          3, ZZFeatureMap, TwoLocal      , linear      , cross_entropy,    0.83 ,     0.216,  0.324,    0.259, 0.119, 0.172, 523, 14089, 1897, 1089
   2,       300,          3, ZZFeatureMap, TwoLocal      , circular    , cross_entropy,    0.943,     0.843,  0.458,    0.594, 0.009, 0.596, 738, 15849,  137,  874
   3,       300,          3, ZZFeatureMap, EfficientSU2  , full        , cross_entropy,    0.945,     0.856,  0.478,    0.613, 0.008, 0.615, 770, 15856,  130,  842
   3,       300,          3, ZZFeatureMap, EfficientSU2  , linear      , cross_entropy,    0.928,     0.88 ,  0.249,    0.388, 0.003, 0.446, 402, 15931,   55, 1210
   3,       300,          3, ZZFeatureMap, EfficientSU2  , circular    , cross_entropy,    0.922,     0.589,  0.501,    0.541, 0.035, 0.501, 807, 15422,  564,  805
   3,       300,          3, ZZFeatureMap, RealAmplitudes, full        , cross_entropy,    0.944,     0.848,  0.476,    0.61 , 0.009, 0.61 , 767, 15848,  138,  845
   3,       300,          3, ZZFeatureMap, RealAmplitudes, linear      , cross_entropy,    0.925,     0.768,  0.253,    0.381, 0.008, 0.414, 408, 15863,  123, 1204
   3,       300,          3, ZZFeatureMap, RealAmplitudes, circular    , cross_entropy,    0.924,     0.609,  0.484,    0.539, 0.031, 0.502, 780, 15485,  501,  832
   3,       300,          3, ZZFeatureMap, TwoLocal      , full        , cross_entropy,    0.941,     0.832,  0.443,    0.578, 0.009, 0.581, 714, 15842,  144,  898
   3,       300,          3, ZZFeatureMap, TwoLocal      , linear      , cross_entropy,    0.919,     0.658,  0.245,    0.357, 0.013, 0.369, 395, 15781,  205, 1217
   3,       300,          3, ZZFeatureMap, TwoLocal      , circular    , cross_entropy,    0.941,     0.832,  0.443,    0.578, 0.009, 0.581, 714, 15842,  144,  898
   4,       300,          3, ZZFeatureMap, EfficientSU2  , full        , cross_entropy,    0.939,     0.782,  0.457,    0.577, 0.013, 0.569, 736, 15781,  205,  876
   4,       300,          3, ZZFeatureMap, EfficientSU2  , linear      , cross_entropy,    0.928,     0.899,  0.243,    0.383, 0.003, 0.446, 391, 15942,   44, 1221
   4,       300,          3, ZZFeatureMap, EfficientSU2  , circular    , cross_entropy,    0.84 ,     0.265,  0.423,    0.326, 0.118, 0.249, 682, 14092, 1894,  930
   4,       300,          3, ZZFeatureMap, RealAmplitudes, full        , cross_entropy,    0.942,     0.864,  0.439,    0.582, 0.007, 0.592, 708, 15875,  111,  904
   4,       300,          3, ZZFeatureMap, RealAmplitudes, linear      , cross_entropy,    0.918,     0.641,  0.235,    0.344, 0.013, 0.355, 379, 15774,  212, 1233
   4,       300,          3, ZZFeatureMap, RealAmplitudes, circular    , cross_entropy,    0.922,     0.589,  0.481,    0.53 , 0.034, 0.49 , 775, 15445,  541,  837
   4,       300,          3, ZZFeatureMap, TwoLocal      , full        , cross_entropy,    0.944,     0.852,  0.475,    0.61 , 0.008, 0.611, 765, 15853,  133,  847
   4,       300,          3, ZZFeatureMap, TwoLocal      , linear      , cross_entropy,    0.848,     0.2  ,  0.22 ,    0.21 , 0.089, 0.126, 354, 14571, 1415, 1258
   4,       300,          3, ZZFeatureMap, TwoLocal      , circular    , cross_entropy,    0.944,     0.852,  0.475,    0.61 , 0.008, 0.611, 765, 15853,  133,  847
   5,       300,          3, ZZFeatureMap, EfficientSU2  , full        , cross_entropy,    0.948,     0.836,  0.533,    0.651, 0.011, 0.643, 860, 15817,  169,  752
   5,       300,          3, ZZFeatureMap, EfficientSU2  , linear      , cross_entropy,    0.929,     0.823,  0.289,    0.428, 0.006, 0.462, 466, 15886,  100, 1146
   5,       300,          3, ZZFeatureMap, EfficientSU2  , circular    , cross_entropy,    0.851,     0.31 ,  0.509,    0.385, 0.114, 0.319, 820, 14162, 1824,  792
   5,       300,          3, ZZFeatureMap, RealAmplitudes, full        , cross_entropy,    0.942,     0.807,  0.482,    0.604, 0.012, 0.597, 777, 15800,  186,  835
   5,       300,          3, ZZFeatureMap, RealAmplitudes, linear      , cross_entropy,    0.924,     0.752,  0.249,    0.374, 0.008, 0.405, 401, 15854,  132, 1211
   5,       300,          3, ZZFeatureMap, RealAmplitudes, circular    , cross_entropy,    0.891,     0.42 ,  0.5  ,    0.457, 0.07 , 0.398, 806, 14871, 1115,  806
   5,       300,          3, ZZFeatureMap, TwoLocal      , full        , cross_entropy,    0.945,     0.845,  0.492,    0.622, 0.009, 0.62 , 793, 15840,  146,  819
   5,       300,          3, ZZFeatureMap, TwoLocal      , linear      , cross_entropy,    0.898,     0.391,  0.195,    0.26 , 0.031, 0.227, 314, 15497,  489, 1298
   5,       300,          3, ZZFeatureMap, TwoLocal      , circular    , cross_entropy,    0.945,     0.845,  0.492,    0.622, 0.009, 0.62 , 793, 15840,  146,  819
